Country,Abbreviation,Continent,GDP,GDP Percentage,Adherence,Date
Cyprus,CYP,Asia,24564647935,0.03,No,4/2/2025
Czech Republic,CZE,Europe,2.46489E+11,0.27,Full,1/1/2010
Czech Republic,CZE,Europe,2.46489E+11,0.27,No,4/2/2025
Denmark,DNK,Europe,3.48078E+11,0.38,Full,1/1/2010
Denmark,DNK,Europe,3.48078E+11,0.38,No,4/2/2025
Djibouti,DJI,Africa,3318716359,0,Full,1/1/2010
Djibouti,DJI,Africa,3318716359,0,No,4/2/2025
Dominica,DMA,N. America,596033333.3,0,Full,1/1/2010
Dominica,DMA,N. America,596033333.3,0,No,4/2/2025
Dominican Republic,DOM,N. America,88941298258,0.1,Full,1/1/2010
Dominican Republic,DOM,N. America,88941298258,0.1,No,4/2/2025
Democratic Republic of the Congo,COD,Africa,47319624204,0.05,Full,1/1/2010
Democratic Republic of the Congo,COD,Africa,47319624204,0.05,No,4/2/2025
Ecuador,ECU,S. America,1.07436E+11,0.12,Full,1/1/2010
Ecuador,ECU,S. America,1.07436E+11,0.12,No,4/2/2025
Egypt,EGY,Africa,3.03175E+11,0.33,Full,1/1/2010
Egypt,EGY,Africa,3.03175E+11,0.33,No,4/2/2025
El Salvador,SLV,N. America,27022640000,0.03,Full,1/1/2010
El Salvador,SLV,N. America,27022640000,0.03,No,4/2/2025
Equatorial Guinea,GNQ,Africa,11026774945,0.01,Partial,1/1/2010
Equatorial Guinea,GNQ,Africa,11026774945,0.01,No,4/2/2025
Eritrea,ERI,Africa,2065001626,0,No,1/1/2010
Estonia,EST,Europe,31386949981,0.03,Full,1/1/2010
Estonia,EST,Europe,31386949981,0.03,No,4/2/2025
Eswatini,SWZ,Africa,3791304348,0,Full,1/1/2010
Eswatini,SWZ,Africa,3791304348,0,No,4/2/2025
Ethiopia,ETH,Africa,96107662398,0.1,Partial,1/1/2010
Ethiopia,ETH,Africa,96107662398,0.1,No,4/2/2025
Fiji,FJI,Australia,5535548972,0.01,Full,1/1/2010
Fiji,FJI,Australia,5535548972,0.01,No,4/2/2025
Finland,FIN,Europe,2.68761E+11,0.29,Full,1/1/2010
Finland,FIN,Europe,2.68761E+11,0.29,No,4/2/2025
France,FRA,Europe,2.71552E+12,2.95,Full,1/1/2010
France,FRA,Europe,2.71552E+12,2.95,No,4/2/2025
Gabon,GAB,Africa,16657960228,0.02,Full,1/1/2010
Gabon,GAB,Africa,16657960228,0.02,No,4/2/2025
The Gambia,GMB,Africa,1763819048,0,Full,1/1/2010
The Gambia,GMB,Africa,1763819048,0,No,4/2/2025
Georgia,GEO,Asia,17743195770,0.02,Full,1/1/2010
Georgia,GEO,Asia,17743195770,0.02,No,4/2/2025
Germany,DEU,Europe,3.84563E+12,4.17,Full,1/1/2010
Germany,DEU,Europe,3.84563E+12,4.17,No,4/2/2025
Ghana,GHA,Africa,66983634224,0.07,Full,1/1/2010
Ghana,GHA,Africa,66983634224,0.07,No,4/2/2025
Greece,GRC,Europe,2.09853E+11,0.23,Full,1/1/2010
Greece,GRC,Europe,2.09853E+11,0.23,No,4/2/2025
Grenada,GRD,N. America,1228170370,0,Full,1/1/2010
Grenada,GRD,N. America,1228170370,0,No,4/2/2025
Guatemala,GTM,N. America,76710385880,0.08,Full,1/1/2010
Guatemala,GTM,N. America,76710385880,0.08,No,4/2/2025
Guinea,GIN,Africa,13590281809,0.01,Full,1/1/2010
Guinea,GIN,Africa,13590281809,0.01,No,4/2/2025
Guinea-Bissau,GNB,Africa,1340389411,0,Full,1/1/2010
Guinea-Bissau,GNB,Africa,1340389411,0,No,4/2/2025
Guyana,GUY,S. America,4280443645,0,Full,1/1/2010
Guyana,GUY,S. America,4280443645,0,No,4/2/2025
Haiti,HTI,N. America,8498981821,0.01,Full,1/1/2010
Haiti,HTI,N. America,8498981821,0.01,No,4/2/2025
Honduras,HND,N. America,25095395475,0.03,Full,1/1/2010
Honduras,HND,N. America,25095395475,0.03,No,4/2/2025
Hungary,HUN,Europe,1.60967E+11,0.17,Full,1/1/2010
Hungary,HUN,Europe,1.60967E+11,0.17,No,4/2/2025
Iceland,ISL,Europe,24188035739,0.03,Full,1/1/2010
Iceland,ISL,Europe,24188035739,0.03,No,4/2/2025
India,IND,Asia,2.611E+12,2.83,Full,1/1/2010
India,IND,Asia,2.611E+12,2.83,No,4/2/2025
Indonesia,IDN,Asia,1.11919E+12,1.21,Full,1/1/2010
Indonesia,IDN,Asia,1.11919E+12,1.21,No,4/2/2025
Iran,IRN,Asia,4.45345E+11,0.48,No,1/1/2010
Iraq,IRQ,Asia,2.34094E+11,0.25,Partial,1/1/2010
Iraq,IRQ,Asia,2.34094E+11,0.25,No,4/2/2025
Republic of Ireland,IRL,Europe,3.88699E+11,0.42,Full,1/1/2010
Republic of Ireland,IRL,Europe,3.88699E+11,0.42,No,4/2/2025
Israel,ISR,Asia,3.95099E+11,0.43,Full,1/1/2010
Israel,ISR,Asia,3.95099E+11,0.43,No,4/2/2025
Italy,ITA,Europe,2.00124E+12,2.17,Full,1/1/2010
Italy,ITA,Europe,2.00124E+12,2.17,No,4/2/2025
Jamaica,JAM,N. America,16458071068,0.02,Full,1/1/2010
Jamaica,JAM,N. America,16458071068,0.02,No,4/2/2025
Japan,JPN,Asia,5.08177E+12,5.52,Full,1/1/2010
Japan,JPN,Asia,5.08177E+12,5.52,No,4/2/2025
Japan,JPN,Asia,5.08177E+12,5.52,Partial,7/23/2025
Jordan,JOR,Asia,43743661972,0.05,Full,1/1/2010
Jordan,JOR,Asia,43743661972,0.05,No,4/2/2025
Kazakhstan,KAZ,Asia,1.80162E+11,0.2,Partial,1/1/2010
Kazakhstan,KAZ,Asia,1.80162E+11,0.2,Full,11/30/2015
Kazakhstan,KAZ,Asia,1.80162E+11,0.2,No,4/2/2025
Kenya,KEN,Africa,95503088538,0.1,Full,1/1/2010
Kenya,KEN,Africa,95503088538,0.1,No,4/2/2025
Kiribati,KIR,Australia,194647202,0,Full,1/1/2010
Kiribati,KIR,Australia,194647202,0,No,4/2/2025
Kuwait,KWT,Asia,1.34761E+11,0.15,Full,1/1/2010
Kuwait,KWT,Asia,1.34761E+11,0.15,No,4/2/2025
Kyrgyzstan,KGZ,Asia,8454619608,0.01,Full,1/1/2010
Kyrgyzstan,KGZ,Asia,8454619608,0.01,No,4/2/2025
Laos,LAO,Asia,18173839128,0.02,Partial ,1/1/2010
Laos,LAO,Asia,18173839128,0.02,Full,2/2/2013
Laos,LAO,Asia,18173839128,0.02,No,4/2/2025
Latvia,LVA,Europe,34117202555,0.04,Full,1/1/2010
Latvia,LVA,Europe,34117202555,0.04,No,4/2/2025
Lebanon,LBN,Asia,53367042272,0.06,Partial,1/1/2010
Lebanon,LBN,Asia,53367042272,0.06,No,4/2/2025
Lesotho,LSO,Africa,2460072444,0,Full,1/1/2010
Lesotho,LSO,Africa,2460072444,0,No,4/2/2025
Liberia,LBR,Africa,3070518100,0,Partial,1/1/2010
Liberia,LBR,Africa,3070518100,0,Full,6/14/2016
Liberia,LBR,Africa,3070518100,0,No,4/2/2025
Libya,LBY,Africa,52076250948,0.06,Partial,1/1/2010
Libya,LBY,Africa,52076250948,0.06,No,4/2/2025
Liechtenstein,LIE,Europe,6552858739,0.01,Full,1/1/2010
Liechtenstein,LIE,Europe,6552858739,0.01,No,4/2/2025
Lithuania,LTU,Europe,54219315600,0.06,Full,1/1/2010
Lithuania,LTU,Europe,54219315600,0.06,No,4/2/2025
Luxembourg,LUX,Europe,71104919108,0.08,Full,1/1/2010
Luxembourg,LUX,Europe,71104919108,0.08,No,4/2/2025
Madagascar,MDG,Africa,14083906357,0.02,Full,1/1/2010
Madagascar,MDG,Africa,14083906357,0.02,No,4/2/2025
Malawi,MWI,Africa,7666704427,0.01,Full,1/1/2010
Malawi,MWI,Africa,7666704427,0.01,No,4/2/2025
Malaysia,MYS,Asia,3.64702E+11,0.4,Full,1/1/2010
Malaysia,MYS,Asia,3.64702E+11,0.4,No,4/2/2025
Maldives,MDV,Asia,5729248472,0.01,Full,1/1/2010
Maldives,MDV,Asia,5729248472,0.01,No,4/2/2025
Mali,MLI,Africa,17510141171,0.02,Full,1/1/2010
Mali,MLI,Africa,17510141171,0.02,No,4/2/2025
Malta,MLT,Europe,14786156563,0.02,Full,1/1/2010
Malta,MLT,Europe,14786156563,0.02,No,4/2/2025
Marshall Islands,MHL,Australia,221278000,0,Full,1/1/2010
Marshall Islands,MHL,Australia,221278000,0,No,4/2/2025
Mauritania,MRT,Africa,7593752450,0.01,Full,1/1/2010
Mauritania,MRT,Africa,7593752450,0.01,No,4/2/2025
Mauritius,MUS,Africa,14180444557,0.02,Full,1/1/2010
Mauritius,MUS,Africa,14180444557,0.02,No,4/2/2025
Mexico,MEX,N. America,1.25829E+12,1.37,Full,1/1/2010
Mexico,MEX,N. America,1.25829E+12,1.37,No,4/2/2025
Federated States of Micronesia,FSM,Australia,401932279,0,Full,1/1/2010
Federated States of Micronesia,FSM,Australia,401932279,0,No,4/2/2025
Moldova,MDA,Europe,11955435457,0.01,Full,1/1/2010
Moldova,MDA,Europe,11955435457,0.01,No,4/2/2025
Monaco,MCO,Europe,7184844193,0.01,Full,1/1/2010
Monaco,MCO,Europe,7184844193,0.01,No,4/2/2025
Mongolia,MNG,Asia,13852850260,0.02,Full,1/1/2010
Mongolia,MNG,Asia,13852850260,0.02,No,4/2/2025
Montenegro,MNE,Europe,5494736901,0.01,Full,1/1/2010
Montenegro,MNE,Europe,5494736901,0.01,No,4/2/2025
Morocco,MAR,Africa,1.18725E+11,0.13,Full,1/1/2010
Morocco,MAR,Africa,1.18725E+11,0.13,No,4/2/2025
Mozambique,MOZ,Africa,14934159926,0.02,Full,1/1/2010
Mozambique,MOZ,Africa,14934159926,0.02,No,4/2/2025
Myanmar,MMR,Asia,76085852617,0.08,Full,1/1/2010
Myanmar,MMR,Asia,76085852617,0.08,No,4/2/2025
Namibia,NAM,Africa,12366527719,0.01,Full,1/1/2010
Namibia,NAM,Africa,12366527719,0.01,No,4/2/2025
Nauru,NRU,Australia,133000000,0,Full,1/1/2010
Nauru,NRU,Australia,133000000,0,No,4/2/2025
Nepal,NPL,Asia,30641380604,0.03,Full,1/1/2010
Nepal,NPL,Asia,30641380604,0.03,No,4/2/2025
Netherlands,NLD,Europe,9.0907E+11,0.99,Full,1/1/2010
Netherlands,NLD,Europe,9.0907E+11,0.99,No,4/2/2025
New Zealand,NZL,Australia,2.06929E+11,0.22,Full,1/1/2010
New Zealand,NZL,Australia,2.06929E+11,0.22,No,4/2/2025
Nicaragua,NIC,N. America,12520915291,0.01,Full,1/1/2010
Nicaragua,NIC,N. America,12520915291,0.01,No,4/2/2025
Niger,NER,Africa,12928145120,0.01,Full,1/1/2010
Niger,NER,Africa,12928145120,0.01,No,4/2/2025
Nigeria,NGA,Africa,4.4812E+11,0.49,Full,1/1/2010
Nigeria,NGA,Africa,4.4812E+11,0.49,No,4/2/2025
North Korea,PRK,Asia,32100000000,0.03,No,1/1/2010
North Macedonia,MKD,Europe,10220781069,0.01,Full,1/1/2010
North Macedonia,MKD,Europe,10220781069,0.01,No,4/2/2025
Norway,NOR,Europe,4.03336E+11,0.44,Full,1/1/2010
Norway,NOR,Europe,4.03336E+11,0.44,No,4/2/2025
Oman,OMN,Asia,76983094929,0.08,Full,1/1/2010
Oman,OMN,Asia,76983094929,0.08,No,4/2/2025
Pakistan,PAK,Asia,3.044E+11,0.33,Full,1/1/2010
Pakistan,PAK,Asia,3.044E+11,0.33,No,4/2/2025
Palau,PLW,Australia,283994900,0,Full,1/1/2010
Palau,PLW,Australia,283994900,0,No,4/2/2025
Panama,PAN,N. America,66800800000,0.07,Full,1/1/2010
Panama,PAN,N. America,66800800000,0.07,No,4/2/2025
Papua New Guinea,PNG,Australia,24969611435,0.03,Full,1/1/2010
Papua New Guinea,PNG,Australia,24969611435,0.03,No,4/2/2025
Paraguay,PRY,S. America,38145288940,0.04,Full,1/1/2010
Paraguay,PRY,S. America,38145288940,0.04,No,4/2/2025
Peru,PER,S. America,2.26848E+11,0.25,Full,1/1/2010
Peru,PER,S. America,2.26848E+11,0.25,No,4/2/2025
Philippines,PHL,Asia,3.76796E+11,0.41,Full,1/1/2010
Philippines,PHL,Asia,3.76796E+11,0.41,No,4/2/2025
Poland,POL,Europe,5.92164E+11,0.64,Full,1/1/2010
Poland,POL,Europe,5.92164E+11,0.64,No,4/2/2025
Portugal,PRT,Europe,2.37686E+11,0.26,Full,1/1/2010
Portugal,PRT,Europe,2.37686E+11,0.26,No,4/2/2025
Qatar,QAT,Asia,1.83466E+11,0.2,Full,1/1/2010
Qatar,QAT,Asia,1.83466E+11,0.2,No,4/2/2025
Romania,ROM,Europe,2.50077E+11,0.27,Full,1/1/2010
Romania,ROM,Europe,2.50077E+11,0.27,No,4/2/2025
Russia,RUS,Europe,1.69988E+12,1.85,Full,1/1/2010
Russia,RUS,Europe,1.69988E+12,1.85,No,2/24/2022
Rwanda,RWA,Africa,10122472590,0.01,Full,1/1/2010
Rwanda,RWA,Africa,10122472590,0.01,No,4/2/2025
Saint Kitts and Nevis,KNA,N. America,1050992593,0,Full,1/1/2010
Saint Kitts and Nevis,KNA,N. America,1050992593,0,No,4/2/2025
Saint Lucia,LCA,N. America,2122450630,0,Full,1/1/2010
Saint Lucia,LCA,N. America,2122450630,0,No,4/2/2025
Samoa,WSM,Australia,850655017.2,0,Partial,1/1/2010
Samoa,WSM,Australia,850655017.2,0,Full,5/10/2012
Samoa,WSM,Australia,850655017.2,0,No,4/2/2025
San Marino,SMR,Europe,1637931035,0,Full,1/1/2010
San Marino,SMR,Europe,1637931035,0,No,4/2/2025
São Tomé and Príncipe,STP,Africa,429016605.2,0,Partial,1/1/2010
São Tomé and Príncipe,STP,Africa,429016605.2,0,No,4/2/2025
Saudi Arabia,SAU,Asia,7.92967E+11,0.86,Full,1/1/2010
Saudi Arabia,SAU,Asia,7.92967E+11,0.86,No,4/2/2025
Senegal,SEN,Africa,23578084052,0.03,Full,1/1/2010
Senegal,SEN,Africa,23578084052,0.03,No,4/2/2025
Serbia,SRB,Europe,51409167351,0.06,Partial,1/1/2010
Serbia,SRB,Europe,51409167351,0.06,No,4/2/2025
Seychelles,SYC,Africa,1698843063,0,Partial,1/1/2010
Seychelles,SYC,Africa,1698843063,0,Full,4/26/2015
Seychelles,SYC,Africa,1698843063,0,No,4/2/2025
Sierra Leone,SLE,Africa,3941474311,0,Full,1/1/2010
Sierra Leone,SLE,Africa,3941474311,0,No,4/2/2025
Singapore,SGP,Asia,3.72063E+11,0.4,Full,1/1/2010
Singapore,SGP,Asia,3.72063E+11,0.4,No,4/2/2025
Slovakia,SVK,Europe,1.05422E+11,0.11,Full,1/1/2010
Slovakia,SVK,Europe,1.05422E+11,0.11,No,4/2/2025
Slovenia,SVN,Europe,53742159517,0.06,Full,1/1/2010
Slovenia,SVN,Europe,53742159517,0.06,No,4/2/2025
Solomon Islands,SLB,Australia,1425074226,0,Full,1/1/2010
Solomon Islands,SLB,Australia,1425074226,0,No,4/2/2025
Somalia,SOM,Africa,4720727278,0.01,Partial,1/1/2010
Somalia,SOM,Africa,4720727278,0.01,No,4/2/2025
South Africa,ZAF,Africa,3.51432E+11,0.38,Full,1/1/2010
South Africa,ZAF,Africa,3.51432E+11,0.38,No,4/2/2025
South Korea,KOR,Asia,2.029E+12,2.2,Full,1/1/2010
South Korea,KOR,Asia,2.029E+12,2.2,No,4/2/2025
South Sudan,SSD,Africa,11997800751,0.01,Partial,1/1/2010
South Sudan,SSD,Africa,11997800751,0.01,No,4/2/2025
Spain,ESP,Europe,1.39412E+12,1.51,Full,1/1/2010
Spain,ESP,Europe,1.39412E+12,1.51,No,4/2/2025
Sri Lanka,LKA,Asia,84008783756,0.09,Full,1/1/2010
Sri Lanka,LKA,Asia,84008783756,0.09,No,4/2/2025
Saint Vincent and the Grenadines,VCT,N. America,825385185.2,0,Full,1/1/2010
Saint Vincent and the Grenadines,VCT,N. America,825385185.2,0,No,4/2/2025
Palestinian Authority,PSE,Asia,4015865744,0,Partial,1/1/2010
Palestinian Authority,PSE,Asia,4015865744,0,No,4/2/2025
Sudan,SDN,Africa,18902284476,0.02,Full,1/1/2010
Sudan,SDN,Africa,18902284476,0.02,No,4/2/2025
Suriname,SUR,S. America,3985250738,0,Full,1/1/2010
Suriname,SUR,S. America,3985250738,0,No,4/2/2025
Sweden,SWE,Europe,5.30833E+11,0.58,Full,1/1/2010
Sweden,SWE,Europe,5.30833E+11,0.58,No,4/2/2025
Switzerland,CHE,Europe,7.03082E+11,0.76,Full,1/1/2010
Switzerland,CHE,Europe,7.03082E+11,0.76,No,4/2/2025
Syria,SYR,Asia,40405006007,0.04,Full,1/1/2010
Syria,SYR,Asia,40405006007,0.04,No,8/1/2011
Tajikistan,TJK,Asia,8116626794,0.01,Partial,1/1/2010
Tajikistan,TJK,Asia,8116626794,0.01,Full,3/2/2013
Tajikistan,TJK,Asia,8116626794,0.01,No,4/2/2025
Tanzania,TZA,Africa,63177068175,0.07,Full,1/1/2010
Tanzania,TZA,Africa,63177068175,0.07,No,4/2/2025
Thailand,THA,Asia,5.4365E+11,0.59,Full,1/1/2010
Thailand,THA,Asia,5.4365E+11,0.59,No,4/2/2025
Timor-Leste,TLS,Asia,1673540300,0,Partial,1/1/2010
Timor-Leste,TLS,Asia,1673540300,0,Full,8/30/2024
Timor-Leste,TLS,Asia,1673540300,0,No,4/2/2025
Togo,TGO,Africa,5459979417,0.01,Full,1/1/2010
Togo,TGO,Africa,5459979417,0.01,No,4/2/2025
Tonga,TON,Australia,450353313.9,0,Full,1/1/2010
Tonga,TON,Australia,450353313.9,0,No,4/2/2025
Trinidad and Tobago,TTO,N. America,24100202834,0.03,Full,1/1/2010
Trinidad and Tobago,TTO,N. America,24100202834,0.03,No,4/2/2025
Tunisia,TUN,Africa,38797709924,0.04,Full,1/1/2010
Tunisia,TUN,Africa,38797709924,0.04,No,4/2/2025
Turkey,TUR,Asia,7.54412E+11,0.82,Full,1/1/2010
Turkey,TUR,Asia,7.54412E+11,0.82,No,4/2/2025
Turkmenistan,TKM,Asia,40761142857,0.04,Partial,1/1/2010
Turkmenistan,TKM,Asia,40761142857,0.04,No,4/2/2025
Tuvalu,TUV,Australia,47271463.3,0,Full,1/1/2010
Tuvalu,TUV,Australia,47271463.3,0,No,4/2/2025
Uganda,UGA,Africa,34387229486,0.04,Full,1/1/2010
Uganda,UGA,Africa,34387229486,0.04,No,4/2/2025
Ukraine,UKR,Europe,1.53781E+11,0.17,Full,1/1/2010
Ukraine,UKR,Europe,1.53781E+11,0.17,No,4/2/2025
United Arab Emirates,ARE,Asia,4.21142E+11,0.46,Full,1/1/2010
United Arab Emirates,ARE,Asia,4.21142E+11,0.46,No,4/2/2025
United Kingdom,GBR,Europe,2.82711E+12,3.07,Full,1/1/2010
United Kingdom,GBR,Europe,2.82711E+12,3.07,No,4/2/2025
United Kingdom,GBR,Europe,2.82711E+12,3.07,Partial,5/8/2025
United States,USA,N. America,2.14277E+13,23.26,Full,1/1/2010
Uruguay,URY,S. America,56045912952,0.06,Full,1/1/2010
Uruguay,URY,S. America,56045912952,0.06,No,4/2/2025
Uzbekistan,UZB,Asia,57921286440,0.06,Partial,1/1/2010
Uzbekistan,UZB,Asia,57921286440,0.06,No,4/2/2025
Vanuatu,VUT,Australia,917058850.8,0,Partial,1/1/2010
Vanuatu,VUT,Australia,917058850.8,0,Full,8/24/2012
Vanuatu,VUT,Australia,917058850.8,0,No,4/2/2025
Venezuela,VEN,S. America,4.82359E+11,0.52,Full,1/1/2010
Venezuela,VEN,S. America,4.82359E+11,0.52,No,4/2/2025
Vietnam,VNM,Asia,2.61921E+11,0.28,Full,1/1/2010
Vietnam,VNM,Asia,2.61921E+11,0.28,No,4/2/2025
Vietnam,VNM,Asia,2.61921E+11,0.28,Partial,6/2/2025
Yemen,YEM,Asia,26914402224,0.03,Partial,1/1/2010
Yemen,YEM,Asia,26914402224,0.03,Full,6/26/2014
Yemen,YEM,Asia,26914402224,0.03,No,4/2/2025
Zambia,ZMB,Africa,23064722446,0.03,Full,1/1/2010
Zambia,ZMB,Africa,23064722446,0.03,No,4/2/2025
Zimbabwe,ZWE,Africa,21440758800,0.02,Full,1/1/2010
Zimbabwe,ZWE,Africa,21440758800,0.02,No,4/2/2025
