Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Hungary,0.013822,0.012622,0.012253,0.011694,0.010930,0.009934,0.009701,0.008950,0.009431,0.011591,0.012406,0.014537,0.015806,0.016932,0.021035
Iceland,0.018143,0.017490,0.016565,0.014523,0.014723,0.014037,0.014113,0.013628,0.013693,0.013344,0.017380,0.015553,0.015730,0.015188,0.018325
Italy,0.018385,0.017913,0.018040,0.017901,0.019082,0.021274,0.019359,0.018883,0.020247,0.019534,0.022631,0.022172,0.022046,0.032698,0.041544
Japan,0.012270,0.012356,0.011739,0.012922,0.013477,0.014507,0.014277,0.017338,0.017914,0.018308,0.020042,0.018476,0.017501,0.016036,0.022982
Latvia,0.012499,0.010694,0.010769,0.009767,0.009822,0.011060,0.011112,0.011005,0.012163,0.017028,0.019041,0.017124,0.018013,0.018386,0.020108
Lithuania,0.016170,0.013019,0.011772,0.010589,0.009832,0.009388,0.010151,0.009907,0.009868,0.010626,0.010655,0.012398,0.012951,0.013213,0.013100
Luxembourg,0.008264,0.007959,0.007835,0.007572,0.007546,0.007026,0.007337,0.007615,0.007490,0.007531,0.008858,0.008735,0.007667,0.008708,0.009998
Montenegro,0.010902,0.010445,0.010370,0.010045,0.009663,0.009118,0.008981,0.008868,0.008924,0.008870,0.010059,0.010426,0.011625,0.011842,0.012771
Netherlands,0.013971,0.013123,0.013533,0.012235,0.011498,0.011148,0.011511,0.011400,0.012831,0.012992,0.013738,0.012916,0.013616,0.019996,0.024162
New Zealand,0.014917,0.014920,0.015316,0.015401,0.014593,0.014582,0.014315,0.013609,0.013717,0.013613,0.014358,0.013024,0.015885,0.020075,0.022998
North Macedonia,0.019686,0.018879,0.018715,0.018471,0.018595,0.018697,0.018517,0.018523,0.018460,0.018529,0.020217,0.019802,0.019577,0.019510,0.020526
Norway,0.012418,0.011823,0.012173,0.011621,0.011277,0.011154,0.011291,0.011313,0.011481,0.012401,0.013560,0.012998,0.013503,0.014880,0.018919
Philippines,0.027568,0.025202,0.024764,0.023913,0.023678,0.024774,0.025728,0.025566,0.027005,0.025965,0.030231,0.038025,0.040004,0.028833,0.031280
Poland,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Portugal,0.014943,0.014683,0.014195,0.013917,0.012763,0.012025,0.013277,0.013512,0.013544,0.013061,0.017298,0.016629,0.016516,0.016065,0.016092
Romania,0.004410,0.003768,0.003589,0.003585,0.003669,0.004156,0.003789,0.004951,0.005007,0.005462,0.005781,0.004712,0.006253,0.007732,0.009627
Slovakia,0.013175,0.012773,0.012255,0.011572,0.011476,0.011179,0.011445,0.011372,0.011961,0.012918,0.014061,0.013654,0.013042,0.014414,0.019164
South Korea,0.015076,0.014425,0.013932,0.014053,0.014623,0.014981,0.016173,0.017052,0.017153,0.018437,0.019660,0.016763,0.014644,0.018131,0.020912
South Korea,0.014862,0.014899,0.014038,0.014396,0.013067,0.013289,0.015420,0.012398,0.013415,0.013740,0.014261,0.015164,0.013900,0.014664,0.015323
Spain,0.013817,0.013257,0.014170,0.012662,0.012463,0.012597,0.011285,0.012221,0.012456,0.012246,0.013543,0.013377,0.014055,0.014716,0.014321
Sweden,0.011945,0.011086,0.011357,0.011177,0.011347,0.010737,0.010560,0.010326,0.010400,0.010969,0.011501,0.011899,0.013315,0.015013,0.019977
Turkey,0.025680,0.024990,0.024178,0.022923,0.021845,0.020489,0.019845,0.019500,0.019446,0.019853,0.021630,0.020724,0.020569,0.022306,0.022786
United Kingdom,0.022717,0.020275,0.020094,0.019240,0.018720,0.018128,0.020503,0.020501,0.025221,0.026899,0.021956,0.018589,0.016588,0.017199,0.019226
